A,B,x,y,C,z,C_canonical,z_canonical,gcd,a,b,c,m,alpha,beta,gamma,macro_family,sub_family,regime,geometry,proof_status,certificate
4,4,10,10,8,7,8,7,4,1,1,2,7,3,3,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=4,k=10) : 2·4^10=2^21"
4,4,3,3,2,7,2,7,2,2,2,1,3,0,0,4,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=4,k=3) : 2·4^3=2^7"
4,4,4,4,8,3,8,3,4,1,1,2,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=4,k=4) : 2·4^4=2^9"
4,4,4,4,2,9,2,9,2,2,2,1,4,0,0,5,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=4,k=4) : 2·4^4=2^9"
4,4,7,7,32,3,2,5,4,1,1,8,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=4,k=7) : 2·4^7=2^15"
4,4,7,7,8,5,8,5,4,1,1,2,5,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=4,k=7) : 2·4^7=2^15"
8,8,3,3,2,10,2,10,2,4,4,1,3,0,0,7,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=9) : 2·2^9=2^10"
8,8,3,3,4,5,4,5,4,2,2,1,3,0,0,2,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=9) : 2·2^9=4^5"
8,8,5,5,16,4,16,4,8,1,1,2,4,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=15) : 2·2^15=2^16"
8,8,5,5,4,8,4,8,4,2,2,1,5,0,0,3,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=15) : 2·2^15=4^8"
8,8,8,8,2,25,2,25,2,4,4,1,8,0,0,17,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=24) : 2·2^24=2^25"
8,8,8,8,32,5,32,5,8,1,1,4,5,3,3,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=24) : 2·2^24=2^25"
8,8,9,9,128,4,2,7,8,1,1,16,4,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=27) : 2·2^27=2^28"
8,8,9,9,16,7,16,7,8,1,1,2,7,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=27) : 2·2^27=2^28"
8,8,9,9,2,28,2,28,2,4,4,1,9,0,0,19,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=27) : 2·2^27=2^28"
16,16,5,5,128,3,2,7,16,1,1,8,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=20) : 2·2^20=2^21"
16,16,5,5,8,7,8,7,8,2,2,1,5,0,0,2,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=20) : 2·2^20=2^21"
16,16,6,6,32,5,32,5,16,1,1,2,5,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=24) : 2·2^24=2^25"
16,16,8,8,2048,3,2,11,16,1,1,128,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=32) : 2·2^32=2^33"
16,16,8,8,2,33,2,33,2,8,8,1,8,0,0,25,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=32) : 2·2^32=2^33"
32,32,10,10,131072,3,2,17,32,1,1,4096,3,7,7,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=50) : 2·2^50=2^51"
32,32,3,3,16,4,16,4,16,2,2,1,3,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=2,k=15) : 2·2^15=2^16"
32,32,3,3,4,8,4,8,4,8,8,1,3,0,0,5,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=15) : 2·2^15=4^8"
32,32,4,4,128,3,2,7,32,1,1,4,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=20) : 2·2^20=2^21"
32,32,4,4,8,7,8,7,8,4,4,1,4,0,0,3,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=20) : 2·2^20=2^21"
32,32,7,7,4096,3,2,12,32,1,1,128,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=35) : 2·2^35=2^36"
32,32,7,7,512,4,2,9,32,1,1,16,4,3,3,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=35) : 2·2^35=2^36"
32,32,7,7,64,6,64,6,32,1,1,2,6,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=35) : 2·2^35=2^36"
32,32,7,7,2,36,2,36,2,16,16,1,7,0,0,29,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=35) : 2·2^35=2^36"
32,32,7,7,16,9,16,9,16,2,2,1,7,0,0,2,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=35) : 2·2^35=2^36"
54,54,5,5,972,3,972,3,54,1,1,18,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=54,k=5) : 2·54^5=972^3"
54,54,8,8,52488,3,52488,3,54,1,1,972,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=54,k=8) : 2·54^8=52488^3"
64,64,4,4,32,5,32,5,32,2,2,1,4,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=2,k=24) : 2·2^24=2^25"
64,64,8,8,128,7,128,7,64,1,1,2,7,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=48) : 2·2^48=2^49"
64,64,9,9,2048,5,2,11,64,1,1,32,5,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=54) : 2·2^54=2^55"
108,108,10,10,7558272,3,7558272,3,108,1,1,69984,3,7,7,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=108,k=10) : 2·108^10=7558272^3"
108,108,4,4,648,3,648,3,108,1,1,6,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=108,k=4) : 2·108^4=648^3"
108,108,7,7,69984,3,69984,3,108,1,1,648,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=108,k=7) : 2·108^7=69984^3"
128,128,5,5,4096,3,2,12,128,1,1,32,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=35) : 2·2^35=2^36"
